slug,ingredient_name,amount,unit,daily_value_pct,form,is_proprietary_blend,blend_name
immune,Vitamin D,62.5,mcg,313,D3 as Cholecalciferol,FALSE,
immune,Zinc,25,mg,227,as Albion® Minerals Zinc Bisglycinate Chelate,FALSE,
immune,N-Acetyl-L-Cysteine USP,600,mg,,,FALSE,
immune,Quercetin Dihydrate,250,mg,,,FALSE,
immune-pro,Calories,5,,,,FALSE,
immune-pro,Total Carbohydrate,1,g,<1,,FALSE,
immune-pro,Mushroom Proprietary Blend,1,g,,,TRUE,Proprietary Blend
immune-pro,Chaga (Inonotus obliquus) Extract (Sterile Conk; Canker) (Organic),,,,,TRUE,Proprietary Blend
immune-pro,Reishi (Ganoderma lucidum) Extract Powder (Fruit Body) (Organic),,,,,TRUE,Proprietary Blend
immune-pro,Cordyceps (Cordyceps militaris) Extract (Fruit Body) (Organic),,,,,TRUE,Proprietary Blend
immune-pro,"Turkey Tail (Trametes versicolor) Powder (Mycelia, Primordia, Fruit Body, Extracellular Compounds) (Organic)",,,,,TRUE,Proprietary Blend
immune-pro,"Pearl Oyster (Pleurotus ostreatus) Powder (Mycelia, Primordia, Fruit Bodies, Extracellular Compounds) (Organic)",,,,,TRUE,Proprietary Blend
immune-pro,Shiitake (Lentinula edodes) Extract Powder (Fruit Body) (Organic),,,,,TRUE,Proprietary Blend
inflamaq,Vitamin C,300,mg,333,as Ascorbic Acid USP,FALSE,
inflamaq,Quercetin Dihydrate,400,mg,,,FALSE,
inflamaq,Stinging Nettle (Leaves),400,mg,,,FALSE,
inflamaq,Bromelain (from Pineapple),100,mg,,240 GDU,FALSE,
inflamaq,N-Acetyl-L-Cysteine USP,50,mg,,,FALSE,
inositol-blend-1,Calories,25,,,,FALSE,
inositol-blend-1,Total Carbohydrate,6,g,2,,FALSE,
inositol-blend-1,Dietary Fiber,2.5,g,9,,FALSE,
inositol-blend-1,Zinc,2,mg,18,as Albion® Zinc Bisglycinate Chelate,FALSE,
inositol-blend-1,Copper,0.2,mg,22,as Albion® Copper Bisglycinate Chelate,FALSE,
inositol-blend-1,Chromium,100,mcg,286,as O-polynicotinate (ChromeMate®),FALSE,
inositol-blend-1,Resistant Potato Starch,3.5,g,,Solnul®,FALSE,
inositol-blend-1,Inositol Blend 40:1,2.05,g,,,TRUE,Inositol Blend 40:1
inositol-blend-1,Myo Inositol,,,,,TRUE,Inositol Blend 40:1
inositol-blend-1,D-Chiro Inositol,,,,,TRUE,Inositol Blend 40:1
iron,Iron,29,mg,161,as Ferrochel® Ferrous Bisglycinate Chelate,FALSE,
kidney-care-1,Astragaloside IV extract,5,mg,,from Astragalus membranaceus root,FALSE,
kidney-care-1,Ferulic Acid,20,mg,,,FALSE,
kidney-care-1,Kidney Care Proprietary Blend,1100,mg,,,TRUE,Proprietary Blend
kidney-care-1,Dandelion (Taraxacum officinale) leaf extract,,,,,TRUE,Proprietary Blend
kidney-care-1,Goldenrod (Solidago gigantea) aerial parts extract,,,,,TRUE,Proprietary Blend
kidney-care-1,Fu Ling (Poria cocos) sclerotium extract,,,,,TRUE,Proprietary Blend
kidney-care-1,Zhu Ling (Polyporus umbellatus) fruiting body extract,,,,,TRUE,Proprietary Blend
kidney-care-1,"He Shou Wu (Fo-ti, Polygonum multiflorum) root extract",,,,,TRUE,Proprietary Blend
kidney-care-1,Citrus and juniper berry essential oils,,,,,TRUE,Proprietary Blend
l-carnitine,L-Carnitine,500,mg,,,FALSE,
l-theanine,L-Theanine,200,mg,,Suntheanine®,FALSE,
liver-sauce-1,Lipoic Acid,48,mg,,from Sodium R-Lipoate,FALSE,
